Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1989","1989","g/capita/day","20.81","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1990","1990","g/capita/day","19.83","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1991","1991","g/capita/day","19.77","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1992","1992","g/capita/day","20.13","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1993","1993","g/capita/day","20.26","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1994","1994","g/capita/day","20.89","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1995","1995","g/capita/day","20.53","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1996","1996","g/capita/day","20.65","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1997","1997","g/capita/day","20.12","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1998","1998","g/capita/day","18.21","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1999","1999","g/capita/day","18.57","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2000","2000","g/capita/day","18.07","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2001","2001","g/capita/day","17.81","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2002","2002","g/capita/day","18.56","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2003","2003","g/capita/day","17.4","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2004","2004","g/capita/day","16.5","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2005","2005","g/capita/day","17.69","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2006","2006","g/capita/day","19.5","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2007","2007","g/capita/day","18.67","Fc","Calculated data"
